condition,sample_name,Normal E PSI,Short CE PSI,Long CE PSI,cell line
control,Sample 1,1,0,0,i5W
control,Sample 2,1,0,0,i5W
control,Sample 3,1,0,0,i5W
control,Sample 4,1,0,0,i5W
control,Sample 5,1,0,0,i5W
control,Sample 6,1,0,0,i5W
tdp43_severe,Sample 7,0.18,0.67,0.15,i5W
tdp43_severe,Sample 8,0.28,0.6,0.12,i5W
tdp43_severe,Sample 9,0.28,0.59,0.12,i5W
tdp43_severe,Sample 10,0.23,0.63,0.15,i5W
tdp43_severe,Sample 11,0.25,0.62,0.13,i5W
tdp43_severe,Sample 12,0.2,0.68,0.12,i5W
tdp43_mild,Sample 13,0.52,0.41,0.08,i5W
tdp43_mild,Sample 14,0.49,0.44,0.07,i5W
tdp43_mild,Sample 15,0.54,0.34,0.12,i5W
tdp43_mild,Sample 16,0.59,0.35,0.06,i5W
tdp43_mild,Sample 18,0.52,0.39,0.08,i5W
control,Sample 1,1,0,0,i11w_repeat
control,Sample 2,1,0,0,i11w_repeat
control,Sample 3,1,0,0,i11w_repeat
control,Sample 4,1,0,0,i11w_repeat
control,Sample 5,1,0,0,i11w_repeat
control,Sample 6,1,0,0,i11w_repeat
tdp43_severe,Sample 7,0.43372869,0.515298143,0.050973166,i11w_repeat
tdp43_severe,Sample 8,0.49796805,0.439004566,0.063027383,i11w_repeat
tdp43_severe,Sample 9,0.46344391,0.454547253,0.082008837,i11w_repeat
tdp43_severe,Sample 10,0.433520138,0.490385208,0.076094655,i11w_repeat
tdp43_severe,Sample 11,0.436586349,0.456987965,0.106425686,i11w_repeat
tdp43_severe,Sample 12,0.44403503,0.445764744,0.110200225,i11w_repeat
tdp43_mild,Sample 13,0.483192265,0.412696906,0.10411083,i11w_repeat
tdp43_mild,Sample 14,0.565241111,0.375198653,0.059560236,i11w_repeat
tdp43_mild,Sample 15,0.539400716,0.406609347,0.053989936,i11w_repeat
tdp43_mild,Sample 16,0.58725556,0.334066593,0.078677847,i11w_repeat
tdp43_mild,Sample 17,0.512975685,0.402965614,0.084058701,i11w_repeat
tdp43_mild,Sample 18,0.560613579,0.358553806,0.080832615,i11w_repeat